videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay
rDxrpSqYHD8,@svenov3167,2023-11-02 20:13:07+00:00,2023-11-02 20:13:07+00:00,0,0,"I say this without shame, my D got hard when I saw Yoshimitsu."
rDxrpSqYHD8,@EsperElves,2023-11-02 20:18:31+00:00,2023-11-02 20:18:31+00:00,0,0,"I saw legends... I was like &quot;OK, have a look, even if you don&#39;t like Tekken anymore&quot;. And well, there aren&#39;t many legends in this trailer but whatever. Why did I even click on this"
rDxrpSqYHD8,@giauchiha90,2023-11-02 20:21:59+00:00,2023-11-02 20:21:59+00:00,0,0,Ummm if this a &quot;legends&quot; trailer where is Anna Williams 😤
rDxrpSqYHD8,@adamuzumaki98,2023-11-02 20:25:31+00:00,2023-11-02 20:25:31+00:00,0,0,Bruce Irvin will return in November 12th.
rDxrpSqYHD8,@antoinemartin-chevalier1838,2023-11-02 20:26:51+00:00,2023-11-02 20:26:51+00:00,0,0,Please don&#39;t forget Anna ;( You can&#39;t separate the emblematic duo Nina/Anna
rDxrpSqYHD8,@SalamanderC2K,2023-11-02 20:31:08+00:00,2023-11-02 20:31:08+00:00,0,0,Bruce Irvin? 😢
rDxrpSqYHD8,@mohammadomar9012,2023-11-02 20:32:49+00:00,2023-11-02 20:32:49+00:00,0,0,Please bring Bruce back..
rDxrpSqYHD8,@jecs16,2023-11-02 20:42:56+00:00,2023-11-02 20:42:56+00:00,0,0,"BRING ANNA BACK, WE NEED OUR QUEEN!!"
rDxrpSqYHD8,@anjelomanoranjan3908,2023-11-02 20:54:09+00:00,2023-11-02 20:54:09+00:00,0,0,I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!! I want to see Lei Wulong in Tekken 8!!!
rDxrpSqYHD8,@1789crazy,2023-11-02 21:06:53+00:00,2023-11-02 21:06:53+00:00,0,0,Gonna miss fak and katarina. My mains are gone😂😂 fk tekken
