,author,published_at,updated_at,like_count,text
20,@appropriatelyspartan2800,2023-12-15T13:41:11Z,2023-12-15T13:41:11Z,3,This game has 0% of E.S.G. approval rating<br><br>Which means it’s going to be epic and awesome <br><br>Definitely gonna try this game out
21,@Onlybalon,2023-12-15T12:45:08Z,2023-12-15T12:45:08Z,0,This is gonna be 🔥🔥
22,@sdtnguyendebt2908,2023-12-15T11:01:03Z,2023-12-15T11:01:03Z,1,Bro. I just seen Campaign Mode Between World War Z 2013 &amp; The Evil Within 2014 from COD Ghosts &amp; WW2 with Wonderland of Love 2023.
23,@3kycat,2023-12-15T08:12:51Z,2023-12-15T08:12:51Z,0,"After demo, no thank you. I don&#39;t want Dragon Ball Mishima. It&#39;s not even better cgi from MK11 on PS4. I will back to PS2 and TTT annd TK5."
24,@radheysoni157,2023-12-15T07:15:55Z,2023-12-15T07:15:55Z,0,Bring back THE &quot;&quot; ogre&quot;&quot;
25,@Khyte,2023-12-15T06:02:41Z,2023-12-15T06:02:41Z,0,THE HYPE IS REAL!!!
26,@TheZakana,2023-12-15T05:20:36Z,2023-12-15T05:20:36Z,0,Where&#39;s Heihachi?
27,@TomaszGabrielBartoszewicz,2023-12-15T04:34:43Z,2023-12-15T04:34:43Z,0,Gra dozwolona od osiemnastego roku życia! PEGI 18.
28,@eddzetarabbit,2023-12-15T01:42:39Z,2023-12-15T01:42:39Z,3,"“I can’t…turn into a devil?”<br>Yeah. Isn’t that what you want it, Jin? To be rid of the devil gene?"
29,@Cheeks730,2023-12-15T00:04:20Z,2023-12-15T00:04:20Z,8,"that shot at <a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=2m13s"">2:13</a> is so cool, Jin vs Kazuya is always a certified classic"
30,@user-po8bh3jz2n,2023-12-14T23:50:28Z,2023-12-14T23:50:28Z,0,"Kazuya vs other character,just Tekken bloodline,when ogre vs jin"
31,@Real7Alex,2023-12-14T23:06:37Z,2023-12-14T23:06:37Z,0,Какой же треш
32,@sirsephy,2023-12-14T23:01:55Z,2023-12-14T23:01:55Z,0,so no Akuma?
33,@LeeFeather,2023-12-14T22:49:17Z,2023-12-14T22:49:17Z,0,Weed need angel Jin
34,@_bluebyrd2018,2023-12-14T22:14:43Z,2023-12-14T22:34:17Z,1,"<a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=1m39s"">1:39</a><br><br><br><br><a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=2m14s"">2:14</a>"
35,@eneseusm459,2023-12-14T22:11:16Z,2023-12-14T22:11:16Z,0,Gta6 had more views than this video in three hours. Every other game will be obsolete when gta6 is out
36,@keanedevadatta7055,2023-12-14T22:05:06Z,2023-12-14T22:05:06Z,0,Present 7 Hours
37,@AriskalAprilio,2023-12-14T21:58:23Z,2023-12-14T21:58:23Z,0,this is might be the worst tekken ever
38,@christoferrbethea3488,2023-12-14T21:45:28Z,2023-12-14T21:45:28Z,0,this is gonna be epic in tekken 8
39,@christoferrbethea3488,2023-12-14T21:45:10Z,2023-12-14T21:45:10Z,1,Jin kazama vs Kazuya Mishima this is gonna be epic
40,@footclan8961,2023-12-14T21:11:38Z,2023-12-14T21:11:38Z,1,EPIC
41,@matejstemberk8110,2023-12-14T20:45:13Z,2023-12-14T20:45:13Z,1,Jin finally looks kinda cool and not just like an emo
42,@cutiechick999,2023-12-14T20:44:18Z,2023-12-14T20:44:18Z,0,Noice
43,@WaynoTube,2023-12-14T20:10:19Z,2023-12-14T20:10:19Z,0,"Let me guess, last fight is another stupidly hard fight against devil kazuya..."
44,@zymonx5624,2023-12-14T19:11:36Z,2023-12-14T19:11:36Z,2,I dont want this to be the last game :(
45,@SpikeTheWolf,2023-12-14T19:09:09Z,2023-12-14T19:09:09Z,0,Leo cute German tomboy
46,@halilibrahimarkan7089,2023-12-14T19:01:37Z,2023-12-14T19:01:37Z,0,Sakın kazuya yı bu oyundan silmeyin tekken demek kazuya demektir bir şekilde iyi tarafa geçip birleşmeliler
47,@edwardescalante5535,2023-12-14T18:59:02Z,2023-12-14T18:59:02Z,0,Will Tekken Force return in this game? ☹️🐵
48,@SpikeTheWolf,2023-12-14T18:55:06Z,2023-12-14T18:55:06Z,0,Where&#39;s akuma? Is he safe? Is he alright?
49,@robertocaldas9521,2023-12-14T18:40:57Z,2023-12-14T18:40:57Z,0,I want Raiden of Metal Gear Rising!!!!!!!!!!!!!!
50,@tailedgates9,2023-12-14T18:28:47Z,2023-12-14T18:29:06Z,1,Cool trailer. :) Just hard to support Jin after his body count in T6. Lol
51,@ipostlamememesallthetime953,2023-12-14T18:19:27Z,2023-12-14T18:19:27Z,0,"Eyyyy Ь0ss...<br><br><br><br><br><br><br><br><br><br>🙏 Can we habe duh GiGaS, pleez? 🙏"
52,@hasannuhanovic1025,2023-12-14T18:16:59Z,2023-12-14T18:16:59Z,0,The end of tekken game
53,@loprfkd,2023-12-14T18:14:03Z,2023-12-14T18:14:03Z,5,Sweet they finally let Jin and Kazuya connect punches. I always felt like it was a tease to the eyes during the Namco intro 😂
54,@Joaco_ASMR,2023-12-14T18:12:50Z,2023-12-14T18:12:50Z,0,Mucho lore el tekken
55,@harleyrose666,2023-12-14T18:09:33Z,2023-12-14T18:09:33Z,0,Love Jin 🖤🖤 cant wait for this game 😁😁😁
56,@Madrigal986,2023-12-14T18:08:03Z,2023-12-14T18:08:03Z,2,Best game fighter in history 💪
57,@giovannidykes6158,2023-12-14T17:58:47Z,2023-12-14T17:58:47Z,0,Here are my predictions. Reina IS Heihachi. Ogre is coming back. Kaz becomes the next Azazel
58,@JunKazamaFan,2023-12-14T17:56:43Z,2023-12-14T17:56:43Z,0,I do wonder if Kazuya can even be saved at this point or if he&#39;s too far gone.
59,@Aggressive_Men,2023-12-14T17:53:14Z,2023-12-14T17:53:14Z,1,I wish they would remaster Tekken 1-4
60,@rohitcharles007,2023-12-14T17:46:51Z,2023-12-14T17:46:51Z,3,This game is awesome compared to other tekken games.
61,@JunKazamaFan,2023-12-14T17:40:01Z,2023-12-14T17:55:43Z,7,"&quot;You, Jin, are the hope of mankind.&quot;<br>Tell that to the countless victims and casualties of his actions in Tekken 6."
62,@assassinscreedpro5000,2023-12-14T17:16:20Z,2023-12-14T17:16:20Z,0,Why is this devil form look ugly looking?
63,@XSworn-EnemyX4625,2023-12-14T17:01:05Z,2023-12-14T17:01:05Z,1,H Y P E
64,@theultimategamer95,2023-12-14T17:00:12Z,2023-12-14T17:00:12Z,0,YOOOOOOOO ALISA&#39;S NEW DESIGN
65,@jiraiya0698,2023-12-14T16:58:29Z,2023-12-14T16:58:29Z,0,Did I see Ogre? Can we have him?
66,@Ciclismo-Faixa-Preta,2023-12-14T16:57:33Z,2023-12-14T16:57:33Z,6,"Jogo bonito, jogo formoso, jogo bem feito! 🤩"
67,@gintokisan5171,2023-12-14T16:52:05Z,2023-12-14T16:52:05Z,3,"Devil Jin went on a day off, probably tired of Jin&#39;s drama."
68,@numbah82,2023-12-14T16:50:15Z,2023-12-14T16:50:15Z,3,Steve was really dodging bullets like they were punches
69,@ericrodriguez816,2023-12-14T16:46:57Z,2023-12-15T00:20:29Z,0,"<a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=1m50s"">1:50</a> <a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=1m49s"">1:49</a> <a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=1m51s"">1:51</a> <a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=1m52s"">1:52</a>"
70,@d.c.stranded7134,2023-12-14T16:41:59Z,2023-12-14T16:41:59Z,3,"I feel like even though Jin Kazama is the main protagonist, Kazuya is the main character"
71,@superup100000,2023-12-14T16:41:48Z,2023-12-14T16:41:48Z,0,meguru hachimiya in tekken 8 dlc
72,@thebloodhound936,2023-12-14T16:37:41Z,2023-12-14T16:37:41Z,3,Awesome trailer.
73,@soltaray,2023-12-14T16:37:32Z,2023-12-14T16:37:32Z,0,"Ну раНарод,погнали!"
74,@Wercik997,2023-12-14T16:37:29Z,2023-12-14T16:37:29Z,0,No Lily? I&#39;m not playing. :(
75,@kimchristensen9091,2023-12-14T16:33:23Z,2023-12-14T16:33:23Z,3,"Well time to stretch my fingers,  am back in Tekken again."
76,@GabrielFrags,2023-12-14T16:18:05Z,2023-12-14T16:18:05Z,8,Steve dodging bullets was CRAZY
77,@sunsty1e,2023-12-14T16:10:29Z,2023-12-14T16:10:29Z,2,I&#39;m stuck at work watching this instead of playing
78,@gabrielvelosa2597,2023-12-14T16:09:43Z,2023-12-14T16:09:43Z,9,Essa história vai ser a maior obra prima que a Namco já criou na vida!!!
79,@diegoamato9946,2023-12-14T16:00:54Z,2023-12-14T16:00:54Z,0,I guess it’s one of the worst game trailer I’ve ever seen in my life. It looks like a low budge scam game with a trash art direction…
80,@RedTedSevenLP,2023-12-14T16:00:36Z,2023-12-14T16:00:36Z,2,Endlich wieder Tekken. Kanns kaum erwarten 🤩
81,@artdjmola1,2023-12-14T15:49:10Z,2023-12-14T15:49:10Z,8,simplesmente animal que trailer top
82,@denzh_hnsb,2023-12-14T15:47:34Z,2023-12-14T15:47:34Z,4,Why is this trailer not released on The Game Award show
83,@pavant9057,2023-12-14T15:46:30Z,2023-12-14T15:46:30Z,0,gameplay is already there in MKiceandFire channel
84,@TheBlackPigeon,2023-12-14T15:35:51Z,2023-12-14T15:35:51Z,4,"Man, we&#39;ve come a long way from two sisters fighting over shoes."
85,@SteveJonesOwnsDSP,2023-12-14T15:31:05Z,2023-12-14T15:31:05Z,2,"Play &#39;Heat Haze Shadow&#39; at <a href=""https://www.youtube.com/watch?v=CSPvynsXa4I&amp;t=2m14s"">2:14</a>! 🎶"
86,@Jhones32br,2023-12-14T15:28:53Z,2023-12-14T15:28:53Z,2,The world is ending and all she wants is to sell coffee?
87,@danielsantana6501,2023-12-14T15:27:41Z,2023-12-14T15:27:41Z,1,"Yo, azucena is on kazuya side? Isn&#39;t she the coffee lady?whos like... Want to sell coffee?"
88,@herpderp9430,2023-12-14T15:27:32Z,2023-12-14T15:27:32Z,1,Looked cringe
89,@marcosbradanovic9100,2023-12-14T15:25:35Z,2023-12-14T15:25:35Z,2,The final battle?
90,@noirczar5280,2023-12-14T15:25:16Z,2023-12-14T15:25:16Z,5,Devil looks awesome this time around!
91,@blasphemous,2023-12-14T15:24:34Z,2023-12-14T15:24:34Z,2,Steve dodging bullets left and right
92,@Boss-Fight-Wiki_muki-twitch,2023-12-14T15:24:05Z,2023-12-14T15:24:05Z,2,ah yes... The most important part of a fighting game
93,@sheeda302gaming8,2023-12-14T15:23:37Z,2023-12-14T15:23:37Z,1,Demo is not showing on playstation store.
94,@coffeefueled9879,2023-12-14T15:22:06Z,2023-12-14T15:23:28Z,1,Where&#39;s Heihachi ?
95,@rahmellbrown162,2023-12-14T15:17:47Z,2023-12-14T15:17:47Z,5,Jin will prob get like an angel transformation
96,@lorenzo6320,2023-12-14T15:17:04Z,2023-12-14T15:17:04Z,1,Can anybody tell me what kind of motorcycle that Paul Phoenix is riding? I&#39;m very curious to know from anybody&#39;s case because this motorcycle is absolutely amazing:)
97,@lwandomadikizela2213,2023-12-14T15:16:05Z,2023-12-14T15:16:05Z,31,Tekken 8 will go down as the best Tekken ever. Now the supporting cast has their time to shine.
98,@AngelRakTay18,2023-12-14T15:13:15Z,2023-12-14T15:13:15Z,3,They speak different languages and understand each other 😮😮😮
99,@lucianopartillowwe,2023-12-14T15:11:43Z,2023-12-14T15:11:43Z,1,tekken 8 PS5 2024 <br>tekken 9 PS5 20??
