videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay
9jJiNa4HoD0,@exorah9427,2023-12-19 14:36:09+00:00,2023-12-19 14:36:09+00:00,1,0,Already got mine
9jJiNa4HoD0,@zamanfu2935,2023-12-19 14:36:23+00:00,2023-12-19 14:36:23+00:00,2,0,Remember kids: N E V E R Pre-order.
9jJiNa4HoD0,@Deedric_Kee,2023-12-19 14:36:43+00:00,2023-12-19 14:36:43+00:00,0,0,I still want offline &quot; Team Battle . But this great too 😃👌
9jJiNa4HoD0,@tsyrensex,2023-12-19 14:37:29+00:00,2023-12-19 14:37:29+00:00,1,8,why would i even buy this?
9jJiNa4HoD0,@YSNReview,2023-12-19 14:37:30+00:00,2023-12-19 14:37:30+00:00,5,1,That looks like zero effort was put into this &quot;Ultimate bullshit.&quot; edition.
9jJiNa4HoD0,@idrnabil4364,2023-12-19 14:37:50+00:00,2023-12-19 14:37:50+00:00,3,0,"for extra price and pre-order bonus, you better put Leo in swimsuit for my money to be worth it Harada"
9jJiNa4HoD0,@citizenofhyrule,2023-12-19 14:38:13+00:00,2023-12-19 14:38:13+00:00,2,1,nah
9jJiNa4HoD0,@darnell7871,2023-12-19 14:38:49+00:00,2023-12-19 14:38:49+00:00,1,0,Now the Mishimas can get tossed off a volcano in DRIP now
9jJiNa4HoD0,@justazack3571,2023-12-19 14:39:05+00:00,2023-12-19 14:39:05+00:00,5,0,Already pre ordered! Just countin down the days now!
9jJiNa4HoD0,@MegaFangking23,2023-12-19 14:39:14+00:00,2023-12-19 14:39:14+00:00,4,4,"I feel gold anything is an outdated incentive to sell a &quot;deluxe&quot; or &quot;ultimate&quot; edition of anything. The suits don&#39;t look good either, definitely not as good as everyone&#39;s default costumes. The avatar skins and cosmetics are super not worth it either since I don&#39;t care about that stuff. I&#39;m just gonna grab just the standard edition."
9jJiNa4HoD0,@rogaken,2023-12-19 14:39:22+00:00,2023-12-19 14:39:22+00:00,0,0,Thats it?
9jJiNa4HoD0,@963tan,2023-12-19 14:39:51+00:00,2023-12-19 14:39:51+00:00,0,0,뭔 딴따라 복장을 입고자빠졌어
9jJiNa4HoD0,@rezarama8494,2023-12-19 14:40:40+00:00,2023-12-19 14:40:40+00:00,0,0,"4 playble character, you know what need character angel please, please need character angel my reason is dlc story character angel really importent to neutrals devil gen"
9jJiNa4HoD0,@IkrTaylorGang15,2023-12-19 14:41:05+00:00,2023-12-19 14:41:05+00:00,0,0,Yes 🤞🏾🖤
9jJiNa4HoD0,@accel1231,2023-12-19 14:41:06+00:00,2023-12-19 14:41:06+00:00,0,0,Ultimate Edition: The King of Las Vegas tournament
9jJiNa4HoD0,@user-sj3bf8cz1l,2023-12-19 14:41:07+00:00,2023-12-19 14:41:07+00:00,0,1,Why so many downvotes lol?
9jJiNa4HoD0,@WB_19,2023-12-19 14:41:43+00:00,2023-12-19 14:41:43+00:00,1,0,Only for a 109 dollars...
9jJiNa4HoD0,@user-oo6ey4ye9l,2023-12-19 14:42:25+00:00,2023-12-19 14:42:25+00:00,1,0,태진아 에디션
9jJiNa4HoD0,@dzulk9,2023-12-19 14:42:30+00:00,2023-12-19 14:42:30+00:00,1,0,"They have a pen, They have an appleee"
9jJiNa4HoD0,@Thomas-ye7jk,2023-12-19 14:42:48+00:00,2023-12-19 14:42:48+00:00,1,0,Roger for dlc pls
9jJiNa4HoD0,@asmara9779,2023-12-19 14:42:59+00:00,2023-12-19 14:42:59+00:00,0,0,No Sub Zero?
